name,total+AF8-citation,gen+AF8-citation,com+AF8-citation,copious+AF8-citation,self+AF8-citation,NGC,NCC,OC,institute,domain,hindex,i10,hindex validation,Check if hindex lesser than total citations,,,,
A6040,788,87,432,167,63,1,0.4518,1,University of Washington,Artificial Intelligence,15,20,225,TRUE,,,,
A6041,817,204,241,26,236,1,0.705,0.8654,Washington University in St. Louis  ,Data Management and Visualization,23,25,529,TRUE,,,,
A6042,878,556,149,59,60,0.3667,1,1,Vrije Universiteit Amsterdam ,Wireless and Sensor Systems,18,27,324,TRUE,,,,
A6043,527,246,126,48,68,1,1,0.926,#NAME?, Riverside+ACI-,Artificial Intelligence,12,13,144,TRUE,,,
A6044,882,863,9,9,0,0.0215,1,1,University of Pittsburgh  ,Computer Architecture,14,22,196,TRUE,,,,
A6045,61,48,2,6,2,0.2131,1,1,University of Arizona,Systems and Networking,4,1,16,TRUE,,,,
A6046,615,501,41,17,34,0.1854,1,1,Flinders University of South Australia,Computer Architecture,20,21,400,TRUE,,,,
A6047,596,414,56,99,19,0.3054,1,1,Aarhus University,Theory of Computation,18,19,324,TRUE,,,,
A6048,349,100,22,191,35,1,1,1,Wesleyan University,Data Management and Visualization,16,17,256,TRUE,,,,
A6049,858,428,136,237,48,1,1,1,University Aix+AC0-Marseille,Computer Architecture,23,24,529,TRUE,,,,
A605,312,237,68,1,3,0.2404,1,1,University of Iowa,Ubiquitous Computing,14,15,196,TRUE,,,,
A6050,170,113,28,2,13,0.3353,1,0.9176,University of Iowa,Programming Languages and Software Engineering,11,12,121,TRUE,,,,
A6051,690,128,134,426,1,1,1,1,#NAME?, Irvine +ACI-,Data Science,22,24,484,TRUE,,,
A6052,114,41,24,4,2,1,1,0.6228,University of Georgia ,Programming Languages and Software Engineering,6,4,36,TRUE,,,,
A6053,222,85,57,37,33,1,1,1,#NAME?, Berkeley+ACI-,Data Science,9,4,81,TRUE,,,
A6054,169,150,4,11,1,0.1124,1,1,The University of Chicago,Ubiquitous Computing,10,1,100,TRUE,,,,
A6055,169,21,25,119,1,1,1,1,Massachusetts Institute of Technology ,Programming Languages and Software Engineering,7,0,49,TRUE,,,,
A6056,374,218,19,11,19,0.4171,1,0.7139,University of Iowa,Security and Privacy,17,18,289,TRUE,,,,
A6057,452,48,51,104,222,1,1,1,#NAME?, San Diego+ACI-,Wireless and Sensor Systems,16,16,256,TRUE,,,
A6058,627,30,273,264,58,1,0.5646,1,University Aix+AC0-Marseille,Theory of Computation,19,19,361,TRUE,,,,
A6059,506,24,188,172,116,1,0.6285,1,Boston University Graduate School,Data Management and Visualization,17,20,289,TRUE,,,,
A606,918,761,78,51,9,0.171,1,1,Boston University Graduate School,Computational +ACY- Synthetic Biology,16,23,256,TRUE,,,,
A6060,397,131,222,26,11,1,0.4408,1,Rijksuniversiteit Groningen,Wireless and Sensor Systems,14,17,196,TRUE,,,,
A6061,452,310,17,60,61,0.3142,1,1,Washington University in St. Louis,Security and Privacy,16,16,256,TRUE,,,,
A6062,205,172,19,5,7,0.161,1,1,University Aix+AC0-Marseille,Data Management and Visualization,12,12,144,TRUE,,,,
A6063,183,174,4,2,2,0.0492,1,1,University of Notre Dame,Computing for Development,6,5,36,TRUE,,,,
A6064,350,113,41,89,85,1,1,1,University of Arizona,Security and Privacy,10,5,100,TRUE,,,,
A6065,202,61,53,11,52,1,0.7376,0.8762,Stanford University,#NAME?, Vision, Animation, and Game Science+ACI-,11,13,121,TRUE,
A6066,559,17,275,3,212,1,0.5081,0.907,#NAME?, Riverside+ACI-,Natural Language Processing,20,22,400,TRUE,,,
A6067,877,598,43,42,16,0.3181,1,0.797,University of Iowa,Programming Languages and Software Engineering,14,15,196,TRUE,,,,
A6068,690,318,113,243,13,1,1,1,#NAME?, Los Angeles+ACI-,Computing for Development,18,20,324,TRUE,,,
A6069,995,729,159,76,20,0.2673,1,1,University of New Brunswick,Computing for Development,30,30,900,TRUE,,,,
A607,750,194,531,19,2,1,0.292,1,Washington University in St. Louis,Artificial Intelligence,20,26,400,TRUE,,,,
A6070,811,73,671,17,15,1,0.1726,1,#NAME?, Berkeley  +ACI-,Programming Languages and Software Engineering,19,20,361,TRUE,,,
A6071,89,75,7,4,0,0.1573,1,1, The University of Chicago,Computer Architecture,4,3,16,TRUE,,,,
A6072,615,121,381,60,28,1,0.3805,1,University of Washington,Natural Language Processing,12,21,144,TRUE,,,,
A6073,113,12,10,39,45,1,1,1,University of Notre Dame,Programming Languages and Software Engineering,6,2,36,TRUE,,,,
A6074,341,183,6,126,16,0.4633,1,1,#NAME?, Berkeley+ACI-,Data Science,17,17,289,TRUE,,,
A6075,195,141,2,16,33,0.2769,1,1,#NAME?, Berkeley  +ACI-,Wireless and Sensor Systems,8,0,64,TRUE,,,
A6076,428,244,78,19,66,0.4299,1,1,University of Toronto,Ubiquitous Computing,17,18,289,TRUE,,,,
A6077,983,57,40,369,37,1,1,0.5117,Massachusetts Institute of Technology ,Programming Languages and Software Engineering,29,30,841,TRUE,,,,
A6078,518,181,143,62,96,1,0.7239,0.9305, The University of Chicago,Artificial Intelligence,18,19,324,TRUE,,,,
A6079,74,40,9,9,5,0.4595,1,0.8514,University of New Brunswick,Molecular Information Systems,7,3,49,TRUE,,,,
A608,360,192,11,115,37,0.4667,1,1,Vrije Universiteit Amsterdam ,Data Science,16,16,256,TRUE,,,,
A6080,187,25,114,43,4,1,0.3904,1,University of Toronto,Computer Architecture,8,6,64,TRUE,,,,
A6081,123,6,75,4,34,1,0.3902,1,University of Auckland,Human Computer Interaction,10,2,100,TRUE,,,,
A6082,680,528,51,78,19,0.2235,1,1,University of Pittsburgh  ,Artificial Intelligence,19,21,361,TRUE,,,,
A6083,741,457,260,16,4,0.3833,0.6491,1,University of Washington,Computer Architecture,25,26,625,TRUE,,,,
A6084,539,453,42,28,0,0.1596,1,1,Flinders University of South Australia,Computer Architecture,16,21,256,TRUE,,,,
A6085,137,49,71,2,3,1,0.4818,0.9124,University Aix+AC0-Marseille,Natural Language Processing,7,5,49,TRUE,,,,
A6086,779,653,64,18,9,0.1617,1,1,#NAME?, San Diego+ACI-,#NAME?, Vision, Animation, and Game Science+ACI-,14,26,196,TRUE
A6087,127,13,99,6,1,1,0.2205,1,University of Massachusetts Amhers ,Data Science,7,4,49,TRUE,,,,
A6088,273,162,75,17,15,0.4066,0.7253,1,Oregon State University,Natural Language Processing,11,15,121,TRUE,,,,
A6089,343,110,188,6,27,1,0.4519,1,University of New Brunswick,Artificial Intelligence,13,16,169,TRUE,,,,
A609,892,492,161,34,146,0.4484,1,1,Washington University in St. Louis  ,Computer Architecture,22,24,484,TRUE,,,,
A6090,623,207,318,66,10,1,0.4896,1,Pontificia Universidad Catlica de Chile,Computing for Development,13,19,169,TRUE,,,,
A6091,398,382,8,6,1,0.0402,1,1,Cornell University,Molecular Information Systems,10,5,100,TRUE,,,,
A6092,104,99,2,2,0,0.0481,1,1,University of Pittsburgh  ,#NAME?, Vision, Animation, and Game Science+ACI-,8,0,64,TRUE,
A6093,502,272,188,28,0,0.4582,0.6255,1,University of Georgia ,Ubiquitous Computing,21,21,441,TRUE,,,,
A6094,668,273,210,170,0,1,0.6856,1,University of Arizona,Theory of Computation,24,24,576,TRUE,,,,
A6095,272,129,90,19,19,1,0.6691,1,#NAME?, Berkeley  +ACI-,Computer Architecture,15,15,225,TRUE,,,
A6096,659,454,190,5,2,0.3111,0.7117,1,Indiana University,Human Computer Interaction,18,24,324,TRUE,,,,
A6097,34,13,7,7,1,1,1,0.8235,Massachusetts Institute of Technology,Programming Languages and Software Engineering,2,1,4,TRUE,,,,
A6098,718,280,252,65,30,1,0.649,0.8733,Indiana University,Molecular Information Systems,13,13,169,TRUE,,,,
A6099,776,585,160,28,1,0.2461,1,1,University of Georgia ,Computing for Development,19,24,361,TRUE,,,,
A61,491,4,314,119,18,1,0.3605,1,Pontificia Universidad Catlica de Chile,Computer Architecture,20,20,400,TRUE,,,,
A610,315,43,65,42,105,1,1,0.8095,Massachusetts Institute of Technology,Computing for Development,10,8,100,TRUE,,,,
A6100,58,23,11,11,0,1,1,0.7759,Wesleyan University,Ubiquitous Computing,6,0,36,TRUE,,,,
A6101,495,297,154,10,32,0.4,0.6889,1,The University of Chicago,Programming Languages and Software Engineering,14,17,196,TRUE,,,,
A6102,105,0,34,46,11,1,0.6762,0.8667,University of Pittsburgh  ,Artificial Intelligence,9,7,81,TRUE,,,,
A6103,197,136,60,0,0,0.3096,0.6954,1,Pontificia Universidad Catlica de Chile,Machine Learning,12,13,144,TRUE,,,,
A6104,379,266,12,54,2,0.2982,1,0.8813,University of Washington,Systems and Networking,16,18,256,TRUE,,,,
A6105,972,556,110,42,263,0.428,1,1,#NAME?, Berkeley+ACI-,Theory of Computation,27,27,729,TRUE,,,
A6106,602,536,12,43,1,0.1096,1,1,#NAME?, Los Angeles+ACI-,Data Science,15,22,225,TRUE,,,
A6107,915,837,33,11,30,0.0852,1,1,Pontificia Universidad Catlica de Chile,Machine Learning,25,27,625,TRUE,,,,
A6108,144,5,41,80,16,1,0.7153,1,Vrije Universiteit Amsterdam ,#NAME?, Vision, Animation, and Game Science+ACI-,8,7,64,TRUE,
A6109,572,33,339,172,6,1,0.4073,1,Boston University Graduate School,Computer Architecture,20,21,400,TRUE,,,,
A611,54,28,9,13,2,0.4815,1,1,Vrije Universiteit Amsterdam ,Natural Language Processing,4,2,16,TRUE,,,,
A6110,883,267,569,22,17,1,0.3556,1,Washington University in St. Louis,Security and Privacy,17,18,289,TRUE,,,,
A6111,345,253,1,19,53,0.2667,1,1,Washington University in St. Louis,Computing for Development,11,17,121,TRUE,,,,
A6112,539,97,304,84,4,1,0.436,0.9072, The University of Chicago,Artificial Intelligence,18,21,324,TRUE,,,,
A6113,137,102,32,1,0,0.2555,1,1,Pontificia Universidad Catlica de Chile,Ubiquitous Computing,8,4,64,TRUE,,,,
A6114,951,691,73,142,2,0.2734,1,1,University of Arizona,Wireless and Sensor Systems,18,19,324,TRUE,,,,
A6115,248,95,131,9,1,1,0.4718,1,Aarhus University,Systems and Networking,12,13,144,TRUE,,,,
A6116,73,1,49,16,4,1,0.3288,1,#NAME?, Riverside+ACI-,#NAME?, Vision, Animation, and Game Science+ACI-,4,2,16,TRUE
A6117,427,332,58,26,0,0.2225,1,1,Washington University in St. Louis  ,Security and Privacy,16,18,256,TRUE,,,,
A6118,357,234,80,1,22,0.3445,1,1,Tel Aviv University,Programming Languages and Software Engineering,9,0,81,TRUE,,,,
A6119,930,166,329,262,164,1,0.6462,1, The University of Chicago,Systems and Networking,21,29,441,TRUE,,,,
A612,13,11,0,1,0,0.1538,1,0.9231,University of Auckland,Data Management and Visualization,1,0,1,TRUE,,,,
A6120,287,130,32,98,13,1,1,1,#NAME?, Riverside+ACI-,Data Science,11,13,121,TRUE,,,
A6121,775,136,11,43,329,1,1,0.6697,Wesleyan University,Wireless and Sensor Systems,21,24,441,TRUE,,,,
A6122,921,607,101,156,2,0.3409,1,1,University of New Brunswick,Wireless and Sensor Systems,16,18,256,TRUE,,,,
A6123,570,313,208,15,33,0.4509,0.6351,1,Tel Aviv University,Security and Privacy,12,13,144,TRUE,,,,
A6124,885,577,49,247,10,0.348,1,1,Massachusetts Institute of Technology ,Molecular Information Systems,23,26,529,TRUE,,,,
A6125,575,14,490,21,33,1,0.1478,1,#NAME?, Irvine +ACI-,Data Science,15,20,225,TRUE,,,
A6126,381,13,256,28,20,1,0.3281,0.832,Tel Aviv University,Theory of Computation,15,17,225,TRUE,,,,
A6127,837,444,233,6,67,0.4695,0.7216,0.8961,Vrije Universiteit Amsterdam ,Wireless and Sensor Systems,23,26,529,TRUE,,,,
A6128,424,232,80,71,1,0.4528,1,0.9057,University of Pittsburgh  ,#NAME?, Vision, Animation, and Game Science+ACI-,13,18,169,TRUE,
A6129,241,150,57,30,2,0.3776,1,1,Boston University Graduate School,Wireless and Sensor Systems,9,0,81,TRUE,,,,
A613,686,192,1,210,190,1,1,0.8644,Washington University in St. Louis  ,Ubiquitous Computing,19,25,361,TRUE,,,,
A6130,785,564,129,80,4,0.2815,1,1,The George Washington University,Natural Language Processing,14,21,196,TRUE,,,,
A6131,979,295,579,78,14,1,0.4086,1,#NAME?, Los Angeles+ACI-,Molecular Information Systems,30,30,900,TRUE,,,
A6132,457,429,15,11,1,0.0613,1,1,Cornell University,Security and Privacy,16,20,256,TRUE,,,,
A6133,935,613,106,48,145,0.3444,1,1,University of Notre Dame,Machine Learning,15,21,225,TRUE,,,,
A6134,998,579,200,165,41,0.4198,1,1,University of Georgia ,Ubiquitous Computing,17,26,289,TRUE,,,,
A6135,34,21,4,8,0,0.3824,1,1,University Aix+AC0-Marseille,Data Science,3,0,9,TRUE,,,,
A6136,134,44,27,26,7,1,1,0.7761,Tel Aviv University,Programming Languages and Software Engineering,10,8,100,TRUE,,,,
A6137,226,38,63,107,14,1,0.7212,1,University of Arizona,Natural Language Processing,7,6,49,TRUE,,,,
A6138,811,759,24,26,1,0.0641,1,1,University of Iowa,Machine Learning,22,24,484,TRUE,,,,
A6139,158,1,138,17,0,1,0.1266,1,University of Toronto,Programming Languages and Software Engineering,10,9,100,TRUE,,,,
A614,205,71,73,8,47,1,0.6439,1,Stanford University,Artificial Intelligence,9,4,81,TRUE,,,,
A6140,356,27,72,109,33,1,1,0.677,#NAME?, Berkeley+ACI-,Computing for Development,9,7,81,TRUE,,,
A6141,449,187,72,77,42,1,1,0.8419,The George Washington University,Computing for Development,12,16,144,TRUE,,,,
A6142,544,15,8,385,135,1,1,1,Boston University Graduate School,Security and Privacy,11,22,121,TRUE,,,,
A6143,13,2,0,7,2,1,1,0.8462,Indiana University,Natural Language Processing,1,0,1,TRUE,,,,
A6144,564,462,6,89,0,0.1809,1,1,Tel Aviv University,Data Science,19,19,361,TRUE,,,,
A6145,61,28,18,13,1,1,0.7049,1,Aarhus University,Data Science,5,3,25,TRUE,,,,
A6146,212,157,6,10,0,0.2594,1,0.816,Massachusetts Institute of Technology,Data Science,8,4,64,TRUE,,,,
A6147,785,74,8,393,157,1,1,0.8051,Massachusetts Institute of Technology,Wireless and Sensor Systems,14,16,196,TRUE,,,,
A6148,770,77,10,347,137,1,1,0.7416,University of Massachusetts Amhers ,Theory of Computation,22,22,484,TRUE,,,,
A6149,634,480,22,25,44,0.2429,1,0.9006,Washington University in St. Louis,Machine Learning,14,23,196,TRUE,,,,
A615,344,25,2,147,129,1,1,0.8808,Northwestern University,Human Computer Interaction,13,16,169,TRUE,,,,
A6150,852,461,98,178,104,0.4589,1,1,Flinders University of South Australia,Human Computer Interaction,24,24,576,TRUE,,,,
A6151,469,176,260,17,12,1,0.4456,1,Aarhus University,#NAME?, Vision, Animation, and Game Science+ACI-,11,19,121,TRUE,
A6152,64,38,7,1,13,0.4062,1,0.9219,University of Toronto,Natural Language Processing,7,2,49,TRUE,,,,
A6153,206,125,56,1,20,0.3932,0.7282,1,Flinders University of South Australia,Wireless and Sensor Systems,11,13,121,TRUE,,,,
A6154,740,489,230,5,3,0.3392,0.6892,1,Massachusetts Institute of Technology ,Computer Architecture,16,23,256,TRUE,,,,
A6155,664,643,6,9,1,0.0316,1,1,Aarhus University,Wireless and Sensor Systems,19,20,361,TRUE,,,,
A6156,621,584,36,0,0,0.0596,1,1,University of Massachusetts Amhers ,Ubiquitous Computing,12,20,144,TRUE,,,,
A6157,8,1,6,0,0,1,0.25,0.875,University Aix+AC0-Marseille,Machine Learning,1,0,1,TRUE,,,,
A6158,129,16,104,2,3,1,0.1938,1,Cornell University,Programming Languages and Software Engineering,7,4,49,TRUE,,,,
A6159,333,160,123,7,42,1,0.6306,1,#NAME?, Riverside+ACI-,Theory of Computation,9,2,81,TRUE,,,
A616,200,180,15,2,0,0.1,1,1,#NAME?, Berkeley+ACI-,Natural Language Processing,11,11,121,TRUE,,,
A6160,663,323,306,12,7,1,0.5385,1,#NAME?, San Diego+ACI-,Programming Languages and Software Engineering,17,24,289,TRUE,,,
A6161,324,200,38,36,26,0.3827,1,0.9259,Washington University in St. Louis,Programming Languages and Software Engineering,13,14,169,TRUE,,,,
A6162,600,515,21,9,51,0.1417,1,1,#NAME?, Los Angeles+ACI-,Security and Privacy,22,23,484,TRUE,,,
A6163,439,308,87,40,0,0.2984,1,1,Boston University Graduate School,Molecular Information Systems,17,18,289,TRUE,,,,
A6164,223,206,16,0,0,0.0762,1,1,University of Toronto,Computational +ACY- Synthetic Biology,7,5,49,TRUE,,,,
A6165,827,421,342,5,37,0.4909,0.5865,1,#NAME?, Berkeley+ACI-,#NAME?, Vision, Animation, and Game Science+ACI-,27,27,729,TRUE
A6166,405,171,195,24,2,1,0.5185,1,Vrije Universiteit Amsterdam ,Ubiquitous Computing,14,19,196,TRUE,,,,
A6167,789,484,8,95,175,0.3866,1,1,Rijksuniversiteit Groningen,Data Science,14,27,196,TRUE,,,,
A6168,912,278,513,116,2,1,0.4375,1,#NAME?, Riverside+ACI-,Security and Privacy,29,29,841,TRUE,,,
A6169,270,234,24,2,5,0.1333,1,1,The George Washington University,Data Management and Visualization,15,15,225,TRUE,,,,
A617,224,17,25,8,34,1,1,0.375,University of Arizona,Machine Learning,8,7,64,TRUE,,,,
A6170,51,29,5,7,5,0.4314,1,0.902,University of Iowa,Data Management and Visualization,4,3,16,TRUE,,,,
A6171,273,4,80,40,35,1,0.707,0.5824, The University of Chicago,Wireless and Sensor Systems,15,15,225,TRUE,,,,
A6172,102,33,9,37,2,1,1,0.7941,University of Pittsburgh  ,Computer Architecture,7,6,49,TRUE,,,,
A6173,184,151,22,7,1,0.1793,1,1,University Aix+AC0-Marseille,Natural Language Processing,11,12,121,TRUE,,,,
A6174,673,14,519,83,14,1,0.2288,1,Wesleyan University,Molecular Information Systems,15,15,225,TRUE,,,,
A6175,986,489,272,205,7,1,0.7241,1,University of Rochester,Systems and Networking,15,21,225,TRUE,,,,
A6176,509,148,224,136,0,1,0.5599,1,University of New Brunswick,Systems and Networking,11,19,121,TRUE,,,,
A6177,61,8,45,4,0,1,0.2623,0.9344,Tel Aviv University,Machine Learning,4,2,16,TRUE,,,,
A6178,509,311,119,71,6,0.389,1,1,University of Notre Dame,Ubiquitous Computing,20,20,400,TRUE,,,,
A6179,209,102,93,13,0,1,0.555,1,Tel Aviv University,Data Management and Visualization,13,13,169,TRUE,,,,
A618,234,171,30,25,5,0.2692,1,1,Indiana University,Systems and Networking,11,14,121,TRUE,,,,
A6180,425,205,81,128,2,1,1,1,Indiana University,Programming Languages and Software Engineering,12,17,144,TRUE,,,,
A6181,773,656,70,19,22,0.1514,1,1,Tel Aviv University,Machine Learning,17,17,289,TRUE,,,,
A6182,600,7,399,64,18,1,0.335,0.8133,University of Iowa,Computational +ACY- Synthetic Biology,20,21,400,TRUE,,,,
A6183,426,128,94,58,122,1,1,1,Vrije Universiteit Amsterdam ,Systems and Networking,12,12,144,TRUE,,,,
A6184,5,1,3,0,0,1,0.4,0.8,University of Rochester,Computational +ACY- Synthetic Biology,1,0,1,TRUE,,,,
A6185,150,98,36,4,11,0.3467,1,1,University of Toronto,Data Management and Visualization,8,5,64,TRUE,,,,
A6186,396,303,74,9,5,0.2348,1,1,University of Arizona,Ubiquitous Computing,14,18,196,TRUE,,,,
A6187,310,95,27,162,22,1,1,1,Wesleyan University,Data Management and Visualization,16,16,256,TRUE,,,,
A6188,712,320,83,298,3,1,1,1,Pontificia Universidad Catlica de Chile,Machine Learning,17,20,289,TRUE,,,,
A6189,744,301,283,133,9,1,0.6196,1,University of Oxford,Natural Language Processing,16,20,256,TRUE,,,,
A619,771,262,132,48,175,1,1,0.8003,University of Massachusetts Amhers ,Data Science,21,21,441,TRUE,,,,
A6190,221,164,47,8,1,0.2579,1,1,University of Rochester,Human Computer Interaction,8,4,64,TRUE,,,,
A6191,899,440,195,210,16,1,1,1,Washington University in St. Louis,Programming Languages and Software Engineering,28,28,784,TRUE,,,,
A6192,662,209,244,79,108,1,0.6314,1,Boston University Graduate School,#NAME?, Vision, Animation, and Game Science+ACI-,15,23,225,TRUE,
A6193,373,92,103,47,130,1,0.7239,1,University of Auckland,Programming Languages and Software Engineering,15,15,225,TRUE,,,,
A6194,32,11,11,7,0,1,0.6562,0.9062,University of Oxford,Natural Language Processing,4,0,16,TRUE,,,,
A6195,325,280,15,20,7,0.1385,1,1,Pontificia Universidad Catlica de Chile,Computer Architecture,10,1,100,TRUE,,,,
A6196,941,771,91,67,6,0.1807,1,1,The George Washington University,Ubiquitous Computing,17,18,289,TRUE,,,,
A6197,375,17,261,65,6,1,0.304,0.9307,University of Oxford,Machine Learning,14,17,196,TRUE,,,,
A6198,989,938,41,0,5,0.0516,1,1,University of Iowa,Computational +ACY- Synthetic Biology,15,17,225,TRUE,,,,
A6199,869,149,303,252,132,1,0.6513,1,Rijksuniversiteit Groningen,Computing for Development,24,27,576,TRUE,,,,
A62,458,193,124,104,6,1,0.7293,1,#NAME?, Berkeley+ACI-,Computing for Development,11,19,121,TRUE,,,
A620,589,490,67,24,6,0.1681,1,1,University of Georgia ,Computational +ACY- Synthetic Biology,15,21,225,TRUE,,,,
A6200,105,43,40,5,3,1,0.619,0.8667,University of Pittsburgh  ,Ubiquitous Computing,6,5,36,TRUE,,,,
A6201,293,73,114,97,5,1,0.6109,1,University of Rochester,Data Management and Visualization,8,5,64,TRUE,,,,
A6202,855,409,9,268,99,1,1,0.9181,Massachusetts Institute of Technology ,#NAME?, Vision, Animation, and Game Science+ACI-,24,28,576,TRUE,
A6203,946,51,763,8,0,1,0.1934,0.8689,University of Rochester,Molecular Information Systems,28,29,784,TRUE,,,,
A6204,528,152,368,1,1,1,0.303,1,Wesleyan University,Computing for Development,21,21,441,TRUE,,,,
A6205,636,25,460,52,31,1,0.2767,0.8931,University of Toronto,Ubiquitous Computing,22,22,484,TRUE,,,,
A6206,914,493,371,25,5,0.4606,0.5941,1,University Aix+AC0-Marseille,Computational +ACY- Synthetic Biology,29,29,841,TRUE,,,,
A6207,392,361,22,7,1,0.0791,1,1,Rijksuniversiteit Groningen,Wireless and Sensor Systems,10,7,100,TRUE,,,,
A6208,471,414,54,2,0,0.121,1,1,University of New Brunswick,Systems and Networking,11,16,121,TRUE,,,,
A6209,939,702,29,159,26,0.2524,1,1,Pontificia Universidad Catlica de Chile,Data Management and Visualization,23,29,529,TRUE,,,,
A621,684,271,329,0,39,1,0.519,1,Oregon State University,Wireless and Sensor Systems,13,21,169,TRUE,,,,
A6210,89,47,8,30,2,0.4719,1,1,University Aix+AC0-Marseille,Machine Learning,5,0,25,TRUE,,,,
A6211,192,37,93,4,8,1,0.5156,0.7396,Tel Aviv University,Artificial Intelligence,6,2,36,TRUE,,,,
A6212,948,17,220,695,15,1,1,1,University of Massachusetts Amhers ,Security and Privacy,22,24,484,TRUE,,,,
A6213,248,96,65,1,80,1,0.7379,1,University of Oxford,Ubiquitous Computing,10,5,100,TRUE,,,,
A6214,467,226,227,13,0,1,0.5139,1,University of Georgia ,Molecular Information Systems,18,20,324,TRUE,,,,
A6215,762,510,124,0,50,0.3307,1,0.8976,University of Auckland,Molecular Information Systems,26,26,676,TRUE,,,,
A6216,909,528,120,1,196,0.4191,1,1,The University of Chicago,Human Computer Interaction,24,24,576,TRUE,,,,
A6217,174,61,8,59,32,1,1,0.9195,Aarhus University,Security and Privacy,8,5,64,TRUE,,,,
A6218,789,606,181,1,0,0.2319,1,1,University of New Brunswick,Artificial Intelligence,25,27,625,TRUE,,,,
A6219,296,143,60,19,18,1,1,0.8108,Stanford University,#NAME?, Vision, Animation, and Game Science+ACI-,14,16,196,TRUE,
A622,777,249,353,13,129,1,0.5457,1,Vrije Universiteit Amsterdam ,Machine Learning,20,23,400,TRUE,,,,
A6220,394,205,108,80,0,0.4797,0.7259,1,Washington University in St. Louis,Artificial Intelligence,18,18,324,TRUE,,,,
A6221,598,437,3,7,25,0.2692,1,0.7893,Rijksuniversiteit Groningen,Data Management and Visualization,20,21,400,TRUE,,,,
A6222,670,318,122,167,42,1,1,1,Flinders University of South Australia,Data Management and Visualization,23,23,529,TRUE,,,,
A6223,118,25,60,25,6,1,0.4915,1,University of Auckland,Human Computer Interaction,7,0,49,TRUE,,,,
A6224,549,489,29,27,3,0.1093,1,1,#NAME?, Los Angeles+ACI-,Natural Language Processing,12,18,144,TRUE,,,
A6225,941,793,72,55,6,0.1573,1,1,University of Iowa,Data Management and Visualization,22,27,484,TRUE,,,,
A6226,714,614,60,18,10,0.1401,1,1,Wesleyan University,Computer Architecture,23,25,529,TRUE,,,,
A6227,672,523,12,2,81,0.2217,1,0.9196,Flinders University of South Australia,Wireless and Sensor Systems,13,16,169,TRUE,,,,
A6228,82,8,0,53,6,1,1,0.8171,#NAME?, San Diego+ACI-,Machine Learning,8,6,64,TRUE,,,
A6229,433,380,7,24,16,0.1224,1,1,Vrije Universiteit Amsterdam ,Data Management and Visualization,14,17,196,TRUE,,,,
A623,758,42,202,280,136,1,0.7335,0.8707,Washington University in St. Louis  ,Human Computer Interaction,18,23,324,TRUE,,,,
A6230,444,266,110,36,16,0.4009,0.7523,1,#NAME?, Los Angeles+ACI-,Computer Architecture,19,20,361,TRUE,,,
A6231,577,217,115,149,40,1,1,0.9029,University of Georgia ,Data Management and Visualization,12,17,144,TRUE,,,,
A6232,6,1,2,1,0,1,0.6667,0.6667,#NAME?, Irvine +ACI-,Computing for Development,1,0,1,TRUE,,,
A6233,898,763,0,106,14,0.1503,1,1,Stanford University,Computer Architecture,18,21,324,TRUE,,,,
A6234,409,144,101,116,46,1,0.7531,1,The George Washington University,Molecular Information Systems,16,19,256,TRUE,,,,
A6235,833,263,47,84,235,1,1,0.7551,University of Toronto,Artificial Intelligence,26,26,676,TRUE,,,,
A6236,35,9,7,12,4,1,1,0.9143,University of Auckland,#NAME?, Vision, Animation, and Game Science+ACI-,3,1,9,TRUE,
A6237,266,204,7,4,24,0.2331,1,0.8985,Rijksuniversiteit Groningen,Artificial Intelligence,15,15,225,TRUE,,,,
A6238,86,72,7,0,0,0.1628,1,0.9186,University of Georgia ,Wireless and Sensor Systems,6,0,36,TRUE,,,,
A6239,256,144,68,38,1,0.4375,0.7344,1,University of Massachusetts Amhers ,Programming Languages and Software Engineering,9,7,81,TRUE,,,,
A624,395,297,93,1,2,0.2481,1,1,#NAME?, Berkeley  +ACI-,Artificial Intelligence,12,12,144,TRUE,,,
A6240,773,281,330,153,5,1,0.5731,1,University of Auckland,Human Computer Interaction,21,21,441,TRUE,,,,
A6241,301,82,127,80,8,1,0.5781,1,Massachusetts Institute of Technology,Security and Privacy,11,13,121,TRUE,,,,
A6242,736,129,566,14,15,1,0.231,1,Aarhus University,Machine Learning,14,17,196,TRUE,,,,
A6243,303,204,81,5,2,0.3267,0.7327,1,Stanford University,Programming Languages and Software Engineering,8,0,64,TRUE,,,,
A6244,602,107,478,8,6,1,0.206,1,#NAME?, Los Angeles+ACI-,Ubiquitous Computing,17,19,289,TRUE,,,
A6245,901,46,764,82,0,1,0.1521,1,The George Washington University,Wireless and Sensor Systems,25,25,625,TRUE,,,,
A6246,793,781,11,0,0,0.0151,1,1,University of Notre Dame,Artificial Intelligence,19,24,361,TRUE,,,,
A6247,950,890,10,10,20,0.0632,1,1,University Aix+AC0-Marseille,Machine Learning,19,29,361,TRUE,,,,
A6248,534,99,426,6,2,1,0.2022,1,#NAME?, Berkeley+ACI-,Molecular Information Systems,21,22,441,TRUE,,,
A6249,357,337,11,5,3,0.056,1,1,Wesleyan University,Ubiquitous Computing,10,1,100,TRUE,,,,
A625,634,600,20,3,10,0.0536,1,1,University Aix+AC0-Marseille,Human Computer Interaction,20,23,400,TRUE,,,,
